,Title,Author,Story Summary,chapter Amount
120,The Detective Story,MaC1LLL," There was a tale about two detectives who really famous on the town, those two named Arurandeisu and Amelia Watson. One day, they didn't have any case and wanted to relax for a day, but... It turns out that there is still a case for them to solve    ",1
121,Wanderlust 2,CleverPervertedPriest," A few years later, a new adventure appears. (Crosspost on ff.net)    ",70
122,It Is Only In Chaos That We Find Hope,Bjorn117, A Fan Fiction Short Story based on the Hololive English Talents Hakos Baelz and IRyS    ,1
123,Private ASMR,Yozora786," Unhonest IRyS wants to watch her lover, Bae, Valentine's ASMR stream.    ",1
124,Counting Sheep,GrandLeviathan," Hajime was a farmer; one who liked to keep to himself. Until one day he stumbled upon au unconscious sheep-girl in the woods, and finds himself with a new roommate in the coming weeks.    ",1
125,Do you wanna watch a movie?,AStrangeAndPeculiarFox29, Irys is in a predicament. Her girlfriends attempt to convince her to watch a movie with them.    ,1
126,Hoping For An Eternity With You,Syellenide1220," Mori Calliope has always known how Takanashi Kiara loses her memory every time the phoenix revives after a death. But now, on Kiara's 50th life, her memory loss worsens, and starts to remember less and less. Calli is told that Kiara will eventually forget everything the moment she dies in this 50th lifetime, and Calli resolves herself to prevent that from happening. However, as Death, preventing death isn't proving to be an easy task... especially now that there are some things that seem threaten Calli's wishes.    ",16
127,Amelia Watson and the Clockwork Conspiracy,Rook_385," Amelia Watson had always wanted to be a detective, but never expected her fight case would involve a conspiracy spread across across the globe and have her interracting with a robot that made her blush everytime she saw her. What is this conspiracy? Who is this robot? What will Happen?Amelia Watson can only hope to solve the case and find out.    ",2
128,Unusual Journey to French Fries,SumDumMuffin, It's a certain kind of relationship you need to have with someone to call them at 3 AM.    ,1
129,child-ish,sp_r_ing," So yes, the almost 40-year old Italian man who carries the grand title of ‘Papa’ amongst their circle of stars was in many ways childish. Every way but the literal way. No, not in the literal way.Well, not until now at least.(aka: The one where Arurandis gets turned into a kid)    ",1
130,After The Storm,GrandLeviathan," Eager to escape the rain Hiro and Fubuki run back to his house, where they discover his parents are out - leaving nobody to stop them changing out their wet clothes.    ",1
131,My Supposed Ordinary Life as a Loner - Meeting Gura,"Koizumi_Natsumi (Kousaka_Erena), Kousaka_Erena", This old ficlet from the 25^th of July 2021 is an old concept based off of an future fic that I had cancelled due to my lack of interest in Hololive.The whole concept is basically Hololive x Oregairu.    ,1
132,Shattered Reflections,HereToImagine," Gura is the last Atlantean on the planet. She's been roaming the seas for centuries, becoming something of a myth. She tries her best to keep her stomach satiated, but sometimes it gets too hungry to control...Will a run in with a certain Priestess of the Ancient Ones help set her on the right path?And how will a certain time traveling detective help her overcome her traumatic past?    ",6
133,Stagefright,BlueMobius," The sound of a ticking clock was so subtle, yet so deafening in this backstage which the shark waited in. The more it ticked, the more the anxiety of the shark grew. The more it tocked, the closer the Time was approaching the shark telling her “It’s time to shine''.    ",1
134,Fair Weather,PenroseByAnyOtherName," A fair weather heart could not survive a storm. Unlucky, for a woman who bet her life on luck, to have met a girl who only came ashore in storms.    ",1
135,On This Journey Together,SumDumMuffin, Amelia and Gura spend their lives together.    ,1
136,Rise of the Mythbreakers,ArcherMahou," The world may appear normal, but behind the scenes monsters of all kinds roam the streets at night. Vampires, werewolves, mages, they all need someone to keep them in check. Humanity needs protectors, ideal soldiers of courage, virtue and strength.Instead, they got the Mythbreakers.""Honestly, I would rather take my chances with the vampires.""    ",1
137,"After Following a Song Down Into a Pit, I Now Have Adventures As The Minion of a Rabbit-Eared Scoundrel, Peko",Naeddyr," After awakening in a new body and receiving a new name, Heri Guardian is stuck with the Wild Hare Adventure Company in the dangerous Demonic Realm, where the ancient undead enemies of the Gods of the Holotheon seem to find his presence especially vexing. Can he make it out of Nedhrigard and to the safety civilization, or will Captain Pekorin's insane hubris bring doom on everyone?    ",4
138,Journey,KagamiWatsuki, ,1
139,Love memories,Niyusa, Time will give you what you deserve based on the acts you have done before.    ,1
140,DO NOT ENTER!,Kousaka_Erena," At Hololive Headquarters, something catches the eye of a duck, sheep and cat.    ",1
141,Mori: Abysmal Crisis,WarehouseRat, ,8
142,A Seat In Time Ch.1,MrVillxin," A Pocket watch that leads to a series of complicated events, and how 2 different groups became affiliated with one another.    ",1
143,116,Aelrie, A fun getaway vacation for two takes a turn for the worse when surprise weather events make themselves known.    ,1
144,Thieving peafowl,Jistimasou," In a secluded room of the Hololive office, IRyS is making a big mistake.    ",1
145,Journey,KagamiWatsuki, ,1
146,Within your arms,IrishMoniv, The first sign of life finally graces a long-dead city...    ,1
147,HoloEn One-shots,SeijunMei, This is just a bunch of AU and multi ships so enjoy    ,1
148,My song for you,Magetro21, Writing songs are hardPOEMS IT ISSS    ,2
149,Holo New Years!,Wiggles, A bit I wanted to whip up in time for New Years at the last moment for a gift to all the member's of Hololive.    ,1
150,Belong,rinre," It's not just words. This is something tangible. And for a time-traveler, this is very important.    ",1
151,"In Other Words, I Love You",SumDumMuffin, Amelia and Gura go on an ocean trip together.    ,1
152,How does one explain to four girlfriends the intricacies of navigating the dangers of time?,IrishMoniv," Amelia Watson explains, and smoothly compliments, her four girlfriends about time travel    ",4
153,Reunited,penn (pen_guin202), ,1
154,Travel,rinre," Gura takes Amelia on a trip to Atlantis. The place is lovely, but being back home triggers a few shark instincts. Amelia wants to help.    ",1
155,My Supposed Ordinary Life as a Loner - Meeting Gura,"Koizumi_Natsumi (Kousaka_Erena), Kousaka_Erena", This old ficlet from the 25^th of July 2021 is an old concept based off of an future fic that I had cancelled due to my lack of interest in Hololive.The whole concept is basically Hololive x Oregairu.    ,1
156,"Light, Dark, and the Things in Between",HereToImagine," Amelia Watson, Ninomae Ina'nis, and IRyS are not the trio Kronii and the rest of the Council wanted to task with saving the world. But they have no better option. With the help of Amelia's ingenuity, Ina's dark powers, and IRyS' balance of yin and yang, they will try their hardest to stop the threat looming over the timeline. And what the hell is up with that ticking noise?    ",2
157,Fisticuffs! I fight with my own gen-mate!! (guerilla off-collab),Lily Catts (Borjarnon), Calliope thinks it would be cool to have fisticuffs with Amelia.Amelia wants someone to beat her up.It's a date.    ,1
158,Warmth,Magetro21, Gura wanted warmth but had to pay the detective    ,1
